Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
43,11282425,"Numerical Ninjas","2023-12-17 01:16:03",5.4609,2,"chengwenzhu,evawangmath,winnie111,yongchengduan,youknowwhat"
44,11306170,PriceProphets,"2023-12-20 09:44:12",5.4610,2,"starsinspace,vikirsn,yihengli5c,yijunwang2021,yucongchen99"
45,10959872,琪石小伙伴,"2023-12-20 13:46:58",5.4612,2,"georgehm912,haoyuwang127,imcrist,jiadiwang,tristanzjy"
46,11333344,banluvh,"2023-12-20 11:03:30",5.4613,2,banluvh
47,10945076,mark4h,"2023-12-20 21:11:13",5.4615,2,mark4h
48,11282458,"Trader King","2023-12-16 23:03:41",5.4617,2,"dianshuozhang,jarviisxie,jqfan4,pinochen,ryuutaylor492"
49,10950347,PrettyMeng,"2023-12-19 16:23:09",5.4618,2,prettymeng
50,10964941,SangSong,"2023-12-20 00:49:11",5.4621,1,yamahr
51,10968367,"Imperial x Optiver","2023-12-17 05:21:15",5.4623,2,"liyiyan,suhualuo,ziyangni,zongqihan"
52,11272193,"Trend Alchemists","2023-12-19 12:21:50",5.4623,2,"csushengguanlin,jianghui54,lengchangfa,yusiqin"
53,11360211,CodeConquerors,"2023-12-16 16:53:52",5.4624,2,"brynnzhang,domoniquemo,jingyile,ziqianpeterzeng,zongzhechen"
54,11302130,"Shitian Lin","2023-12-19 16:40:46",5.4626,2,"itzelzhu,shitianlin,waynewang8624"
55,10958751,"Kaggle Crushers","2023-12-17 07:59:24",5.4629,2,"mebox000123,w2861201484,yingruili96,yufang0429"
56,11279163,caahea,"2023-12-19 01:10:28",5.4629,2,"caahea,ltang94,waylandxiong,yongleliu"
57,10946155,太卷了我不玩了,"2023-11-06 16:34:51",5.4631,1,zhangyue199
58,11349218,CommanderCody,"2023-12-18 12:04:56",5.4632,2,"cerinayao,charleschengkaiyang,karlieshao,qingyuanyao"
59,11049806,ffflyings,"2023-12-20 11:48:33",5.4632,2,"ffflyings,hanluzou,jackiezheng0813,shikexin272"
60,11325722,"Cyber Minds","2023-12-19 08:10:24",5.4632,2,"guolunli,leo001123,liuyazhou123,ruiz001"
61,11287822,"Gold Hunter","2023-12-19 23:08:41",5.4632,2,"charlottexinyuying,fenrish,rockylau,yunyaxia"
62,11151248,HappyGoLucky,"2023-12-17 11:37:34",5.4633,2,"ericayingyy,oswald007,ryan37,tonyl666"
63,11313122,TradeAtKaggle,"2023-12-19 08:28:22",5.4633,2,"frankyun,gui0504,randomsearch,shirley83,xiao0924"
64,11310758,"Ten of Pentacles","2023-12-19 06:11:02",5.4634,2,"arielhu621,numpies,runhongma,shipppp"
65,11270515,"Quantitive Capybara","2023-12-18 05:14:46",5.4635,2,"calvinshi,leixu813,qicongrhea,wenjingjanice"
66,10950052,Basil,"2023-12-20 20:17:24",5.4636,1,basilh
67,11341374,RichardZhu2003,"2023-12-20 02:10:37",5.4637,2,richardzhu2003
68,10948142,trytry,"2023-12-20 05:45:10",5.4637,2,"pqxlpjy123,winniehuiwu,zhanghustc,zhenggonglove,ziqiaozhou"
69,11338574,MMMM,"2023-12-15 04:06:14",5.4640,2,zhoumeng9904
70,11309427,holyground,"2023-12-17 05:46:50",5.4641,2,"alexxxh,jaysonx,rongbozhu,zhamihong"
71,11311854,catnip,"2023-12-17 11:38:02",5.4641,2,"dypeng,shaquanquan,simdars,yimingliumarx"
72,11353945,paopao0417,"2023-12-16 02:52:23",5.4641,2,paopao0417
73,10951105,"Supreme Taker","2023-11-29 04:40:55",5.4641,2,fanfrankfeng
74,11224714,EXCITING,"2023-12-17 15:17:53",5.4642,2,"doudinger,ikunlwh,scarlettlele"
75,11109228,"Never Trust LB","2023-12-16 08:30:04",5.4642,1,tommy1028
76,11310965,NHSM,"2023-12-19 12:03:27",5.4643,2,"chuangfaliang,helenxw,sq147147,whoisthere"
77,10949004,rinovan,"2023-12-20 09:57:19",5.4643,2,"mrsandman17,rinovan"
78,10968874,KPG,"2023-12-17 16:41:08",5.4645,2,"chaosongzhang,linjuan,pubingsheng,rongxu1998"
79,11015282,FlynnFu,"2023-12-17 05:26:59",5.4646,2,flynnfu
80,11009457,"Jiman Kwon","2023-12-20 17:01:10",5.4646,2,jimankwon
81,11313424,"Win at the Close","2023-12-19 05:34:45",5.4646,2,"edwin49,kevinshuey,minshenzhou,shuhanye"
82,11109593,"Team SYVG","2023-12-17 11:39:10",5.4647,2,"ajrobbins,mengzos,ritatatavan,zongxiaoying"
83,10953464,"Jose Antonio Alatorre","2023-12-20 08:59:14",5.4652,2,joseantonioalatorre
84,11390369,Chris1213,"2023-12-18 09:16:38",5.4652,2,chris1213
85,10968404,Yujia,"2023-12-19 22:26:11",5.4652,2,yogaxu
86,10951452,"Homer Trading","2023-12-18 09:47:25",5.4653,2,"aubreechiu,billtao19,rogerproself,yingdingdoris"
87,10953958,不要怕，是技术性调整,"2023-12-20 13:52:24",5.4657,1,rjqian
88,10945241,"David Goodrich","2023-12-18 17:04:24",5.4657,2,davidgoodrich
89,10945493,tonic,"2023-12-18 06:42:24",5.4659,2,jinmiyashita
90,11097474,miiikrll,"2023-12-20 11:21:46",5.4660,2,"bangjunli,lihuanxing,miiikrll,rrrsdsa,yihanzhan"
91,11109454,黎明,"2023-12-18 22:58:32",5.4662,2,kimkumuha
92,11325516,"Binary Masters","2023-12-18 00:40:14",5.4664,2,"evaweiyidai,journalbing,keanehuang,ryanlei0528"
93,10951217,frontrunner,"2023-12-20 17:05:00",5.4665,2,"chuqibian,yiming601"
94,11323730,optiveretf,"2023-12-19 14:54:45",5.4666,2,"clairejiabaoli,docscai,nasdaqplus,nvveew,qi7axu"
95,11348013,"Protect 3000","2023-12-20 01:22:07",5.4667,2,"chaselruoxuanxu,louisejiangangel,mancityfc,russellmeng2,weinick"
96,11328162,"Bull Market","2023-12-19 14:59:54",5.4668,2,"enzezhou2999,pikalabs,sendohx,tummer"
97,11338162,Quantify,"2023-12-19 16:53:01",5.4668,2,"carplay,laiqing,lzlmjw,songhai1049,xieyuming"
98,11312714,OptimizerClose,"2023-12-19 11:50:01",5.4669,2,"caichequming,rtx5090,sducwh,thomasd23,zxchan"
99,11327969,"Dr. Nasdaq","2023-12-19 15:44:40",5.4669,2,"carrotwait,panamera4s,piccolojr,wangchunkai,yangzhenze"
100,11327786,"Go for return","2023-12-19 14:55:46",5.4670,2,"caifanhuang,lanyangyang731,xiaomicar,yukaitang"
101,11313399,ICMATech,"2023-12-19 11:51:18",5.4671,2,"aaronqikao,financialtech,irisvielchristabel,melodystitchqi"
102,10977896,"BIG APPLE","2023-12-17 07:18:51",5.4671,2,"dravenxx,qilinchan,zengxiaojian,zhaozhaoma"
103,11333731,AI4Quant,"2023-12-19 15:49:06",5.4672,2,"cybertruck,nanjiangchen,renxianwang,songluguang,yingxu2021"
104,11327873,CloudQuant,"2023-12-19 14:57:21",5.4672,2,"countrysideid,kkkky123,llmfund,shipenghuang"
105,11308403,SDCQ,"2023-12-17 07:59:53",5.4672,2,"cecilll,chaowang97,dianding1998717swufe,sixkingdoms"
106,10965651,giampaolo1980,"2023-12-20 12:21:25",5.4672,2,giampaolo1980
107,11307544,"LGB is all we need","2023-12-19 11:48:02",5.4672,2,"hyuan622,jiaqiyustar,quanttraders,yuelanfengyin"
108,11194524,skygoal9,"2023-12-16 02:35:48",5.4672,2,taohaoxiong
109,11314178,QuantumQuanters,"2023-12-19 14:52:58",5.4672,2,"hansgege,jmaxcy,mlquant,pppengyue"
110,11374272,Hectorist,"2023-12-20 15:51:47",5.4673,2,"dahdaa,hectorist,octaviust8,xnbuxn"
111,11020969,您说的都队,"2023-12-20 03:00:48",5.4674,2,"jiahaodong,zytzwt"
112,11328093,"LCNSP index","2023-12-19 15:42:52",5.4675,2,"junqis,nextchen,robertbrand,shiyuzhang666,shortselling"
113,11142638,"Pingchuan Ma","2023-12-20 18:06:30",5.4675,1,xanderthegreat
114,11105140,"RACH park","2023-12-19 15:23:33",5.4676,2,rachpark
115,11057788,zhuhongyao,"2023-12-19 05:24:30",5.4676,2,zhuhongyao98
116,11319796,"machine quanting","2023-12-17 08:43:15",5.4676,2,"agneshao,lewwwwischen,nvidiayes,yulonggu,ywqsccc"
117,11081988,"ying yu","2023-12-17 07:01:31",5.4677,2,"knightabc,melyndayu,minhengxiaoquant,oscarfoun"
118,11327929,"Dear submission","2023-12-19 14:58:48",5.4678,2,"applem3,gouruiqin,totem23,xinyingch"
119,10993091,"Yuchen Yue","2023-12-20 19:21:59",5.4679,2,"lerancai,yuchenyue"
120,11337249,"Aravind Pillai","2023-12-12 22:25:45",5.4680,1,aspillai
121,11381384,jaykkkoo,"2023-12-20 14:20:00",5.4680,2,jaykkkoo
122,10953707,"Yilia Zhang","2023-12-20 14:53:02",5.4681,2,yiliazhang
123,11169698,Curtis987,"2023-12-20 13:15:17",5.4681,1,"bennett2032,curtis987,pkumbw,superbearbeats,xiangchenliu"
124,10979791,snever,"2023-12-15 04:18:30",5.4684,2,snehalverma10
125,11226798,"Louis MIYANAGA","2023-12-11 09:59:14",5.4684,2,imainjob
126,11054914,AP,"2023-12-19 23:32:10",5.4685,1,alexiapimentel
127,11368230,Mauricerist,"2023-12-17 11:02:37",5.4686,1,"boshenyuan,chuansj,emoji16,josephhhhhhhhhh,mauricerist"
128,11037782,Shuai@ETH,"2023-12-20 08:58:11",5.4688,2,shuaieth
129,10947627,SkyFish,"2023-12-19 17:17:52",5.4688,2,"clairehz,wuwenmin,xiaotong0201"
130,10952497,Pims,"2023-12-20 16:24:21",5.4688,1,"fibercoke,kevjiang2022,liquidammonia1999,yunchonggan"
131,11064646,DumbAnonymous,"2023-12-14 04:20:29",5.4689,2,"dumbanonymous,jiesun279,lintaiyang,xueyliu,yaojinchen"
132,11071353,n_samii,"2023-12-18 06:37:44",5.4691,2,nsamii
133,11167726,phil98b,"2023-12-13 14:03:46",5.4691,1,"crispinschomers,manuelhettich,phil98b"
134,11041349,DiogoCarvalh0,"2023-12-13 13:17:33",5.4692,1,diogocarvalh0
135,11083462,"Haoze Hou RUC","2023-11-30 16:00:32",5.4693,1,test02934
136,10951728,Big2,"2023-12-20 16:02:25",5.4695,2,"cl12102783,xinshuo0"
137,11272812,"Lan Yuan Baozai Fan","2023-12-19 14:20:59",5.4696,1,"ameyue,fionaze,guooooyyy,xinyihe0508"
138,11230826,"Sylvia L","2023-12-17 14:33:48",5.4696,2,yijunluo
139,10973900,vlk0,"2023-12-20 18:58:06",5.4697,2,kirill0212
140,11047726,BING10086,"2023-12-18 06:24:33",5.4697,2,"bing10086,zhuzhu69"
141,11008991,Lafoi,"2023-11-25 04:07:10",5.4698,2,wentinglu
142,11041555,cmanning,"2023-12-17 22:07:02",5.4698,2,cmanning
143,10953378,BeijingQuants,"2023-11-29 03:11:45",5.4701,2,"liuyuchenpku,shimingyuan"
144,10987494,Voodoo_m88,"2023-11-27 23:57:21",5.4701,2,voodoom88
145,10951583,GAIN,"2023-12-17 12:03:04",5.4702,2,"elaineakatsuki0918,junzid,pigggg,tony980,zhengliangwang"
146,10985307,boooobeep,"2023-12-20 03:59:33",5.4702,2,xrzkaggle
147,11144805,woofery,"2023-12-18 15:24:55",5.4702,1,woofery
148,10965791,MansKa,"2023-12-20 03:08:58",5.4702,2,mansourch
149,10955365,"Hail Reaper","2023-12-20 15:09:24",5.4703,2,anisoulkadda
150,10947407,CEMA-PHBS,"2023-12-19 08:04:21",5.4703,1,"chauncyzxs,kaihuazhong,luyongkang"
151,10954438,mavillan,"2023-12-20 16:06:38",5.4703,1,mavillan
152,10957449,"Guangqi Li 0413","2023-12-18 03:31:33",5.4704,2,guangqili0413
153,11073054,Algo_trading,"2023-12-20 07:21:52",5.4705,2,"billxu22,xiaobingsun"
154,11271270,"Shinnwow Li","2023-12-17 15:05:59",5.4705,2,shinnwowli
155,11059990,"Model King Size","2023-12-05 12:07:08",5.4705,2,"alankabisov,juliasemenuk,nanobelka70spb,stabuev"
156,11228978,Hm,"2023-12-16 15:58:07",5.4705,2,hamza07
157,11027856,"Bring me Gold","2023-12-20 15:42:08",5.4707,2,judith007
158,10955618,"yanis bardes","2023-12-20 09:55:14",5.4707,2,"jeanemmanuelamato,yanisssb"
159,10973747,fan2goa1,"2023-12-18 08:29:20",5.4707,2,zfun0926
160,11174197,"We Won't Trust LB","2023-12-16 11:55:49",5.4707,2,"naokiichikawa,zeng51"
161,11036293,kaggleadventure,"2023-12-19 09:17:47",5.4708,2,"fionaliu811,hztang0804,kaggleadventure,zengjianli"
162,10973477,"Farukcan Sağlam","2023-12-20 22:11:24",5.4708,2,greysky
163,11146183,"Looking a position on ML/DS","2023-12-20 17:33:36",5.4708,2,xianzwaikato
164,10992476,"Wang's Team","2023-12-20 20:14:49",5.4709,2,"garveyyyyy,liwenyukaggle,peizhengwang,shuraymond,zhuyikevin"
165,11035047,PranavsMasterCardAutoML,"2023-12-20 10:01:39",5.4711,2,"gauravmastercard,pranavmastercard,pranavpoduval,pritam004,sanjaykumarpatnala"
166,11103199,Kara,"2023-12-19 18:40:58",5.4711,2,"drchenb,miniroi,nubiakaggle,vs2024"
167,11199824,"Bolin Pan","2023-12-20 10:23:18",5.4711,1,bolinpan
168,10953618,herryxie,"2023-12-20 19:37:53",5.4712,2,"derekggg,herryxie"
169,11270246,"Yinggang Qu","2023-12-19 03:21:47",5.4712,2,yinggangqu
170,11351717,GreSheep,"2023-12-18 07:46:12",5.4712,2,"burton001,greatgreysheep,irislea,weinanweng"
171,11290155,formember,"2023-12-20 08:10:32",5.4712,2,formember
172,10968348,JM,"2023-12-20 15:26:11",5.4713,2,julianmukaj
173,10952956,Swissdays,"2023-12-14 08:55:05",5.4713,2,"haobojia,hugoagogo,jingfengrong,parandriod"
174,11340334,"Wanna Cui","2023-12-20 15:07:16",5.4714,2,wannacui
175,11319285,"To be goat","2023-12-11 05:02:16",5.4714,2,black1848
176,11076004,Heybro,"2023-12-20 17:54:35",5.4714,2,"daiyuxiao,jimozhang,kaggleplayer01,kristin0119"
177,11141480,かん,"2023-12-13 09:49:11",5.4714,2,alexander956
178,11349348,"Annetta Zheng","2023-12-19 04:30:45",5.4715,2,annettazheng
179,11369141,forgottenfield,"2023-12-17 09:06:52",5.4715,2,"cvninja,forgottenfield,huggingcv,kagglellm,origincat"
180,11168450,"[Deleted] 26dfc573-ba3c-4df3-b138-3a19c9716f9c","2023-12-06 11:07:12",5.4716,2,del=d737d6920ea6b3b4
181,11253274,"Dimitris Pan","2023-11-22 14:58:26",5.4716,2,dimpan11
182,10950608,"Azusa Mizume","2023-12-18 10:59:06",5.4717,2,azusamizume
183,11012665,"要期末了 来个佬带带","2023-12-17 16:28:01",5.4717,2,"aluouoo,leehomhuang,mochenfeng,wjc125522"
184,11379787,"Chien-Hsiang Wang","2023-12-20 10:58:18",5.4717,2,"chienhsiangwang,r10922a16"
185,11318621,"OptiverClose Gogogo~","2023-12-20 19:30:01",5.4717,2,"huangzheng0426,koninglau,linxcn,yajiewu,zhengxingzhang"
186,11258253,Czw2023gz,"2023-12-20 15:01:42",5.4717,2,"chen2022gz,czw2023gz"
187,10981079,igodxx,"2023-12-18 10:04:24",5.4717,1,"csfisha,cyruscui,igodxx"
188,11120975,ZhangYuan2000,"2023-12-19 08:50:01",5.4717,2,zhangyuan2000
189,11271848,sugarsspw,"2023-12-15 08:02:10",5.4717,1,"jinlongwei,sugarsspw"
190,11220469,tamryow,"2023-12-20 00:56:22",5.4718,2,tamryow
191,11318320,NewYear,"2023-12-18 10:39:00",5.4718,1,"amakiyune,emiria,teta2009"
192,11295676,Katerina,"2023-12-14 17:13:54",5.4718,2,abramova
193,10967348,"Hannah Liu","2023-12-20 10:49:57",5.4718,2,"coconut12345,hannahcxliu,pengzixin,ziyuanyu"
194,11297157,Aalf,"2023-12-20 08:06:18",5.4718,2,lyalindmitriy
195,10975919,"Nolan Smith","2023-12-20 06:01:01",5.4718,2,nolansmith
196,11078285,marcinj,"2023-12-19 12:29:09",5.4718,2,marcinj
197,10979614,palajnc,"2023-12-17 15:38:36",5.4719,1,palajnc
198,11252831,"Chengjiayi ","2023-12-06 23:26:20",5.4719,2,"chengjiayi,yangzshi68"
199,11376479,Salvia,"2023-12-20 17:22:24",5.4719,2,sylviemedical
200,11034794,又要开始爬楼,"2023-12-20 15:55:06",5.4719,2,"changyanteing,jaytankajie,leejiayu99,leezinghii,wk6286"
201,11377384,dopamine,"2023-12-20 06:50:18",5.4719,2,bvineeth007
202,10951034,Lingzhenxu,"2023-12-19 05:07:23",5.4720,2,lingzhenxu
203,11131678,"Edward #2","2023-12-20 14:49:17",5.4720,1,erotar
204,10974059,Boulder,"2023-12-20 14:18:08",5.4720,2,"ruriko,shinichi99"
205,10975378,CJDWD,"2023-12-19 13:23:24",5.4721,2,"hopezkl,jindongcaowd,radiomarcel,unnamed1408"
206,11148774,Q,"2023-12-16 09:10:56",5.4721,2,"hunhuh,qwerteum"
207,11016919,40's,"2023-12-18 06:12:04",5.4721,2,"kenozawa,kogayoshiaki,shinsukekurosu"
208,11094236,QIMLers,"2023-12-15 16:51:10",5.4721,1,"ajdm343,guozhengdai,qxhuang,vapour0704"
209,11119973,Fidel,"2023-12-20 20:47:49",5.4721,2,fbescalo
210,11136543,"TOMA FUNAHASHI","2023-12-20 13:01:19",5.4722,2,tomafunahashi
211,10946197,democatXamer,"2023-12-19 06:37:44",5.4722,2,w1326627677
212,11078298,YutoTamura,"2023-12-19 06:04:41",5.4722,2,yutotamura
213,11283582,"Roman Stupin","2023-12-14 20:26:31",5.4722,2,"rcnegby,splav12341"
214,11229714,LLLL,"2023-12-18 23:14:26",5.4722,2,llz988
215,10958451,Canonnn,"2023-11-18 12:49:49",5.4722,1,theotisayne
216,11216735,"Taras Shavkoniuk","2023-12-19 08:11:57",5.4723,2,tarasshavkoniuk
217,11145173,rutilicus,"2023-12-09 12:48:32",5.4723,2,rutilicus
218,11243407,"Timur Redzhepov","2023-12-15 16:29:41",5.4723,2,timred
219,10959156,FML,"2023-12-19 01:13:55",5.4723,2,seraquevence
220,11104071,"TU GRAZ DataTeam","2023-12-13 13:52:06",5.4723,2,"eliasgatternig,knightlautrec,stefanschoerkmeier"
221,11304086,hirokii,"2023-12-17 16:33:41",5.4723,2,hirokii
222,11081086,webmaking,"2023-12-20 08:52:34",5.4723,2,webmaking
223,11253730,AVicii2023,"2023-12-16 16:05:37",5.4724,2,"avicii2023,jiachengwu5,orlog2023,sunandray"
224,10960190,Kh8888,"2023-12-20 16:15:26",5.4724,2,"del=ef668c9a581d296f,kh8888"
225,11156748,Rechardmist,"2023-12-16 09:33:16",5.4724,2,rechardmist
226,11280277,Tikhvinskiy,"2023-12-18 12:08:14",5.4724,2,tikhvinskiy
227,11161485,"Fei LuMing","2023-12-12 04:22:29",5.4724,1,democatxamer
228,11350656,JohnLemon3,"2023-12-19 00:22:30",5.4724,2,johnlemon3
229,11084101,"Philip Xu","2023-12-09 04:15:18",5.4724,2,philipxx
230,11037450,tasho_tasho,"2023-12-17 09:04:08",5.4724,1,"josephsteger,kotaromizui,ryuichiroakaho,tashotasho"
231,11218409,"Vladimir Demidov","2023-12-20 15:40:39",5.4724,2,yekenot
232,11314991,JLingGUO,"2023-12-19 09:32:09",5.4724,2,jlingguo
233,11270679,JYU-Frank,"2023-12-20 01:56:37",5.4725,2,"joaaaaaaanna,jyufrank"
234,11181882,"Jiayu Xu","2023-12-12 05:32:56",5.4725,2,greenaitech
235,11210826,viaviavia_liu,"2023-12-18 12:57:55",5.4725,2,viaviavialiu
236,11227716,"Bruce Chen","2023-12-13 18:24:50",5.4725,2,kungfuchen
237,10949517,"Tianhao Liu","2023-12-18 13:51:12",5.4725,2,"qiwenshi,tianhao0814"
238,11351811,"coder with no hair !!","2023-12-19 11:55:20",5.4725,2,"coderwithnohair,mryan000,xaleux"
239,11055967,cczouk,"2023-12-20 06:21:00",5.4726,1,cczouk
240,11170125,Anivia,"2023-12-20 11:30:22",5.4726,2,anivia
241,11198410,tuna,"2023-12-15 00:59:59",5.4726,2,tinatuna
242,11111348,"[Deleted] cdffa704-4894-482f-984c-b76462d81de0","2023-12-18 14:20:37",5.4726,1,del=ca74bd2025359e5f
243,11375742,"Akim Kotelnikov","2023-12-20 14:28:35",5.4726,2,rototo
244,11060826,maesaer,"2023-12-19 23:43:37",5.4726,2,maesaer
245,11188486,"Lonan Syayf","2023-12-13 20:35:50",5.4726,2,lonansyayf
246,10979061,"Michal Bogacz","2023-12-18 19:51:12",5.4726,2,michau96
247,10951119,SkySell,"2023-12-12 03:10:36",5.4726,2,shin1shiba
248,11135149,"HM Luo","2023-12-20 15:13:49",5.4726,2,"resnet550,weswei,wjjomo"
249,10971573,momokan,"2023-12-11 01:30:31",5.4726,2,"heshien,jackize,orangecat1"
250,10991140,Team_6_ML,"2023-12-14 15:19:11",5.4727,2,"gysjzqtju,lucasyang33,machengyuan,melongua,wendonghuang1"
251,11079200,AAA,"2023-12-19 04:47:07",5.4727,2,dengdengma
252,10963820,"Open for QR intern in CHN","2023-12-12 04:35:55",5.4727,1,"courantzhang,courantzzzhang,fengyipei,xusixian"
253,10996870,"ZNXXCL TEAM","2023-12-20 13:59:34",5.4727,2,"daikaizhai,kelm25,qiuyawen,waqzzz,ziyi12"
254,11193339,AkiraIshikawa,"2023-12-17 12:54:26",5.4727,2,akiraishikawa
255,11326729,"Jiuming Qin","2023-12-20 10:52:23",5.4727,2,jiuming
256,10976949,MojoPicón,"2023-12-18 18:49:11",5.4728,2,"joelprezizquierdo,salbeal94,sermarham"
257,11088735,"Red Lotus Alchemist","2023-12-20 01:04:43",5.4728,2,redlotusalchemist
258,11001510,"Khoi Nguyen Nguyen","2023-12-20 13:07:57",5.4728,2,khoinguyennguyen
259,11009330,"small pond","2023-12-19 12:11:00",5.4728,2,smallpond
260,10964758,NewSouthHeadRoad高校钓鱼王,"2023-12-20 12:57:01",5.4728,2,"hazzwen,wangrodney"
261,11065971,"Patrick Smyth","2023-12-18 01:09:54",5.4728,2,patrico49
262,11351106,"Michael Ibrahim","2023-12-18 01:32:20",5.4728,2,michaelibrahim
263,11021456,"Longxiang WANG","2023-12-09 08:55:18",5.4728,2,"liyicong1,longxiangwang37"
264,11375683,Nightglow,"2023-12-19 06:52:49",5.4728,2,mushinw
265,11013932,"Tsuyoshi Fujii","2023-12-19 08:41:26",5.4728,1,tsuyoshifujii
266,11196258,Flanagan,"2023-12-20 16:25:16",5.4728,2,vegas73
267,11344811,"Leonid Emelyanenko","2023-12-15 05:28:56",5.4728,1,leonidemelyanenko
268,11317862,Binil,"2023-12-18 10:53:02",5.4728,2,binilg
269,10953834,PipInstallPredictor,"2023-12-14 13:44:23",5.4728,2,"paulbourcereau,paullejamtel"
270,10970024,Chetan,"2023-12-14 06:00:13",5.4728,2,chetan8007
271,11293312,ForEveYo,"2023-12-03 02:28:46",5.4728,1,foreveyo
272,11329140,wunus,"2023-12-19 11:31:23",5.4728,2,chris2042
273,11276278,CaspianZero,"2023-12-20 11:35:15",5.4728,2,"caspianzero,fleisx,jasperreed,shuhanchen21,xiangyucui25"
274,10979710,EOD,"2023-12-18 18:37:58",5.4728,2,theokp
275,11054184,"Ivan Aleksandrov","2023-12-20 14:19:54",5.4729,2,"ivanblch,ranunculusrepens"
276,10948990,"Does Market play dice?","2023-12-20 12:28:20",5.4729,1,"danielcunhaoliveira,gentlezdh,leehann,lizhecheng,nandodmelo"
277,10969262,"Jacob Sage Richman","2023-12-04 05:28:49",5.4729,2,jacobsagerichman
278,11357521,"Daniel Kalicki","2023-12-13 16:10:44",5.4729,1,dankal
279,10955477,"ma 127","2023-12-19 12:01:54",5.4729,2,ma1166mu
280,11388143,paralyzed,"2023-12-20 02:01:38",5.4729,2,"ethanjames7,junipersky,paralyzed"
